Product Name,Price,Image URL
"Onion (Eeruli)
(0.95-1.05) kg","₹43
₹56","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/a1ba074a-c085-4dd1-b4a4-2f247d6f211d.jpg?ts=1711010249"
"Desi Tomato 500 g (Nati tomato)
500 g","₹16
₹21","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/1c80c95c-366d-408b-bca8-512cde93e08c.jpg?ts=1735980656"
"Green Chilli - 100 g (Hasiru Menasina Kaayi)
100 g","₹14
₹18","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/ac998a00-1253-46dc-bd67-e551b0a81411.jpg?ts=1711019907"
"Lemon (Nimbe Hannu)
6 pieces (150 - 220) g","₹32
₹41","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/cf2f05eb-edf7-467b-90af-6818789305d7.jpg?ts=1726553679"
"Hybrid Tomato 500 g
500 g","₹20
₹27","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/f61f5d13-49be-4d70-b083-b4822fb609c3.jpg?ts=1717305373"
"Potato - New Crop (Alugadde)
(0.95-1.05) kg","₹39
₹54","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c11437d7-3fa3-454c-a5b1-ec2dc911c014.jpg?ts=1734429255"
"Orange Carrot (Kyāreṭ)
500 g","₹19
₹26","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/images/products/sliding_image/327916a.jpg?ts=1690813169"
"Cauliflower (Hookosu)
1 piece (300 - 500) g","₹18
₹23","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/5c732219-a883-403d-90f3-9594b620f2f2.jpg?ts=1713868642"
"Green Cucumber (Southekai)
(500-700) g","₹21
₹27","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/861fd2fe-69e6-4651-8ee2-b2425a89af74.jpg?ts=1711022175"
"Ginger 200 g (Shunti)
200 g","₹16
₹21","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/04123212-cacb-40d6-b138-c1a8b5bcdfe9.jpg?ts=1711473367"
"Garlic (Bellulli)
100 g","₹26
₹36","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/c94ce8fe-8a5c-4ba3-9277-6b988ad42a50.jpg?ts=1711473367"
"Lady Finger (250 g) (Bendekayi)
250 g","₹18
₹24","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/36c5d65e-513c-432b-8c27-5791c7163e1f.jpg?ts=1711016007"
"Haricot Beans (Huralikaayi)
250 g","₹15
₹20","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/57535480-3faa-4725-9621-63555cd9035b.jpg?ts=1707557500"
"Red Carrot - 500 g (Kyāreṭ)
500 g","₹54
₹70","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/efcea8f8-e69c-44ce-af01-1da24d569026.jpg?ts=1737976289"
"Button Mushroom (180 - 200) g (Anabe)
(180-200) g","₹56
₹75","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/04c43c70-1d65-4447-984b-3d095399a238.jpg?ts=1711473371"
